"town" "dif_rep_voteshare" "dif_dem_voteshare" "votedif"
"104" "Norwich" -0.337145996287995 0.337145996287995 -716
"105" "Old Lyme" -0.168972056769396 0.168972056769396 -273
"106" "Old Saybrook" -0.0901895118931726 0.0901895118931725 -323
"107" "Orange" 0.0453222066093606 -0.0453222066093606 -447
"108" "Oxford" 0.164518385532942 -0.164518385532942 -278
"109" "Plainfield" -0.105695200012874 0.105695200012874 -780
"110" "Plainville" -0.171170648032549 0.171170648032549 -624
"111" "Plymouth" -0.000261519935855214 0.000261519935855214 -356
"112" "Pomfret" -0.0634048942559581 0.0634048942559581 -105
"113" "Portland" -0.1676300237567 0.1676300237567 35
"114" "Preston" -0.017437138660543 0.017437138660543 -297
"115" "Prospect" 0.220441299879839 -0.220441299879839 -42
"116" "Putnam" -0.106957189115006 0.106957189115006 -316
"117" "Redding" -0.110056615645542 0.110056615645542 -274
"118" "Ridgefield" 0.00819940576674627 -0.00819940576674633 -445
"119" "Rocky Hill" -0.163330643660238 0.163330643660238 -705
"120" "Roxbury" -0.0781331452297889 0.0781331452297889 -35
"121" "Salem" -0.0685123035357808 0.0685123035357808 -148
"122" "Salisbury" -0.455387162139545 0.455387162139545 -113
"123" "Scotland" -0.017677090661039 0.017677090661039 -89
"124" "Seymour" 0.0158476364610429 -0.0158476364610429 -612
"125" "Sharon" -0.291888518582449 0.291888518582449 -116
"126" "Shelton" 0.072686867116642 -0.0726868671166421 -1633
"127" "Sherman" -0.0126547048185901 0.0126547048185901 -67
"128" "Simsbury" -0.0785512804255935 0.0785512804255935 -329
"129" "Somers" 0.0861165063127124 -0.0861165063127123 -116
"130" "South Windsor" -0.189803324466648 0.189803324466648 -712
"131" "Southbury" 0.0848066824033101 -0.0848066824033102 -560
"132" "Southington" -0.0571745857799725 0.0571745857799725 -732
"133" "Sprague" -0.0536585707629628 0.0536585707629627 -70
"134" "Stafford" -0.131196175740768 0.131196175740768 -605
"135" "Stamford" -0.273408311725717 0.273408311725717 -2147
"136" "Sterling" 0.0476972665333971 -0.0476972665333972 -123
"137" "Stonington" -0.204280310409082 0.204280310409082 -664
"138" "Stratford" -0.180342296103416 0.180342296103416 -2018
"139" "Suffield" 0.020211344565944 -0.020211344565944 -175
"140" "Thomaston" 0.11477732020618 -0.11477732020618 -264
"141" "Thompson" -0.0182029693395606 0.0182029693395606 -432
"142" "Tolland" -0.0864219510023457 0.0864219510023457 -453
"143" "Torrington" -0.00370989255343468 0.00370989255343479 -1670
"144" "Trumbull" 0.0403929542210342 -0.0403929542210342 -1056
"145" "Union" -0.0269033530571992 0.0269033530571993 -18
"146" "Vernon" -0.223231578131656 0.223231578131655 -1432
"147" "Voluntown" 0.0138084862237465 -0.0138084862237465 -72
"148" "Wallingford" -0.13317355511959 0.13317355511959 -1387
"149" "Warren" -0.0404627080856342 0.0404627080856342 -28
"150" "Washington" -0.228713608245515 0.228713608245515 -141
"151" "Waterbury" -0.292792382531652 0.292792382531651 -3413
"152" "Waterford" -0.161414592954606 0.161414592954606 -918
"153" "Watertown" 0.187016713815397 -0.187016713815397 -690
"154" "West Hartford" -0.368680888021901 0.368680888021901 -2007
"155" "West Haven" -0.375909215453677 0.375909215453677 -1806
"156" "Westbrook" -0.0984997143346166 0.0984997143346166 -276
"157" "Weston" -0.162435729847773 0.162435729847773 -231
"158" "Westport" -0.222155701279629 0.22215570127963 -475
"159" "Wethersfield" -0.158096659057399 0.158096659057399 -1813
"160" "Willington" -0.141884141374907 0.141884141374907 -268
"161" "Wilton" 0.00461180769295211 -0.00461180769295216 -356
"162" "Winchester" -0.0077465036193689 0.00774650361936885 -370
"163" "Windham" -0.472961875723434 0.472961875723434 -1187
"164" "Windsor" -0.462246302402962 0.462246302402962 -496
"165" "Windsor Locks" -0.153024613743145 0.153024613743145 -587
"166" "Wolcott" 0.199651518154375 -0.199651518154375 -259
"167" "Woodbridge" -0.20619676752949 0.20619676752949 -241
"168" "Woodbury" 0.073650655953844 -0.073650655953844 -561
"169" "Woodstock" 0.00846986948069983 -0.00846986948069983 -135
