OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
456,340258095011,51,10,41,8,1,0,1,0,0,10,0,0,0,0,0,3,7,925,3,1.1,16362221.5507813,17967.374379271
457,340258095022,41,11,30,9,2,0,0,0,0,11,0,0,0,0,0,3,8,938,12,1.2,5707998.078125,9715.89260655925
458,340258096001,51,11,40,9,2,0,0,0,0,11,0,0,0,0,0,2,9,540,3,2,3718011.17578125,8109.33711191609
459,340297139004,95,49,46,10,1,8,9,18,3,36,0,0,11,2,0,21,15,405,40,13.4,553083.40234375,4943.85169898379
460,340258125011,78,12,66,7,5,0,0,0,0,12,0,0,0,0,0,8,4,1115,7,1.1,46898985.2226563,28806.8887849495
461,340258079003,83,19,64,10,3,2,3,1,0,14,0,0,5,0,0,4,10,1039,16,1.9,4691470.9296875,8992.17616576156
462,340297112001,57,15,42,4,2,3,1,5,0,14,0,0,1,0,0,10,4,732,41,2.2,1908983.04296875,7517.23113091171
463,340297113001,50,14,36,2,0,0,3,9,0,8,0,0,6,0,0,2,6,726,24,2,1503371.90625,7463.44622248555
464,340297135002,90,27,63,4,3,1,3,16,0,24,0,0,3,0,0,7,17,921,39,3.1,3099658.91015625,9808.2812135093
465,340297114003,217,145,72,3,6,5,38,88,5,135,0,0,10,0,0,40,95,901,80,17.7,1919580.6171875,10768.5972543965
466,340297136002,93,31,62,5,4,0,7,14,1,30,0,0,1,0,0,23,7,843,10,3.7,2051005.4453125,7100.18949966832
467,340258034004,52,30,22,5,0,0,5,19,1,4,0,0,1,25,0,1,3,321,1,9.4,562325.140625,4299.51503762803
468,340258033004,30,10,20,7,3,0,0,0,0,10,0,0,0,0,0,3,7,586,3,1.7,15743477.125,21202.6575135608
469,340258115011,68,11,57,8,1,0,1,1,0,11,0,0,0,0,0,5,6,934,6,1.2,7804735.8203125,19103.2532059896
470,340258114022,34,11,23,7,4,0,0,0,0,10,0,0,1,0,0,4,6,366,0,3,1491078.5546875,4740.14565102347
471,340258113013,44,13,31,13,0,0,0,0,0,13,0,0,0,0,0,10,3,742,4,1.8,3431621.96484375,9038.501970068
472,340258106001,55,12,43,9,3,0,0,0,0,10,0,0,2,0,0,4,6,1098,2,1.1,3230246.546875,7849.05496806089
473,340258105021,54,11,43,8,3,0,0,0,0,8,2,0,0,1,0,4,6,806,5,1.4,3898360.84375,11150.7151188429
474,340297172004,32,11,21,10,1,0,0,0,0,11,0,0,0,0,0,2,9,543,0,2,7599925.6875,11392.0249008996
475,340297135001,59,12,47,5,2,0,2,2,1,10,1,0,1,0,0,10,1,512,16,2.4,2676338.39453125,13245.6413751386
476,340297136001,61,17,44,3,0,0,5,9,0,15,0,0,2,0,0,4,11,485,8,3.6,1865539.9453125,7425.10233067269
477,340297137002,226,169,57,6,6,8,40,100,9,159,0,0,10,0,0,71,88,504,38,36.3,2537211.015625,9256.16884449157
478,340297137001,314,207,107,7,7,18,41,120,14,190,0,0,17,0,0,54,136,796,126,30.9,2248930.66015625,12964.5136470154
479,340297174003,47,14,33,13,0,0,0,1,0,13,0,0,1,0,0,7,6,888,11,1.6,45538667.8164063,33899.755874465
480,340297139001,83,42,41,5,4,1,14,17,1,33,0,0,9,0,0,21,12,1065,12,4,3525851.5390625,17347.0640042039
481,340297174002,50,12,38,10,0,0,2,0,0,12,0,0,0,0,0,4,8,964,12,1.3,37892910.0664063,28411.1773099205
482,340297132012,34,11,23,4,2,2,0,1,2,10,0,0,1,0,0,3,7,592,21,1.9,3172176.85546875,7808.94611564281
483,340297131001,135,58,77,5,4,15,9,22,3,50,0,0,7,0,0,34,16,964,25,6.2,2662746.32421875,9373.05067384837
484,340010119002,56,15,41,6,7,1,1,0,0,9,0,0,6,0,0,7,2,581,1,2.6,2065722.90234375,6425.45454704317
485,340010119004,68,27,41,13,11,1,2,0,0,19,0,0,8,0,0,13,6,397,2,6.8,1708918.890625,5154.66595841773
486,340010119003,74,28,46,17,7,1,2,1,0,20,0,0,8,0,0,10,10,704,0,4,1057977.6484375,4163.78825280796
487,340010120001,75,24,51,14,7,0,2,1,0,20,0,0,4,0,0,12,8,752,2,3.2,2353653.734375,6912.89340010017
488,340010120002,437,309,128,16,4,12,61,134,82,136,2,0,167,4,0,51,87,1012,33,31.6,8469226.40625,13526.0456225161
489,340010119005,61,14,47,10,1,0,2,1,0,5,5,0,3,1,0,7,3,800,1,1.8,1519473.71484375,5093.70689944367
490,340010102001,22,10,12,7,1,0,2,0,0,9,0,0,1,0,0,2,7,679,8,1.5,1965875.265625,6090.63312122458
491,340010103002,52,21,31,10,1,0,4,5,1,16,0,0,4,1,0,9,7,473,3,4.5,4670039.1328125,15883.5766895644
492,340010103001,33,10,23,2,5,0,2,1,0,4,1,0,3,2,0,2,3,549,14,1.9,5196705.16015625,9334.26996325198
493,340010121001,186,116,70,21,10,10,11,53,11,81,0,0,35,0,0,29,52,533,11,22.2,1116731.8984375,4816.49981239163
494,340010121002,61,20,41,8,4,2,3,3,0,12,1,0,7,0,0,4,9,477,6,4.2,1904970.33203125,11219.7662604437
495,340010122001,58,18,40,14,3,0,1,0,0,13,0,0,5,0,0,5,8,482,6,3.8,1659827.51171875,5793.11114728037
496,340010122003,70,24,46,11,8,1,4,0,0,18,0,0,4,2,0,13,5,643,7,3.8,2205453.65234375,6058.9463930519
497,340010122002,66,16,50,10,4,0,2,0,0,9,0,0,7,0,0,5,4,612,3,2.6,1104305.87109375,4170.77312187653
498,340010101011,710,507,203,10,0,2,101,367,27,440,0,0,65,2,0,48,392,1133,374,66.8,6196614.24609375,32100.6472634092
499,340010101022,164,103,61,5,0,1,31,63,3,80,2,0,16,5,0,15,67,755,447,33.4,1001680.21875,4298.02916462148
500,340010101023,133,63,70,9,0,0,25,29,0,32,1,0,28,2,0,6,27,765,424,18.5,589375.21484375,3322.87298117829
501,340010102002,37,20,17,4,2,1,5,7,1,19,0,0,1,0,0,6,13,545,11,3.7,7989267.7734375,20799.3323245348
502,340010117013,32,11,21,3,7,0,0,1,0,10,1,0,0,0,0,8,3,898,4,1.2,5864260.109375,10498.9565496254
503,340010107003,48,34,14,1,2,1,5,24,1,28,0,0,6,0,0,14,14,841,17,4.1,84920724.7109375,43860.1305591269
504,340010107002,54,43,11,0,2,2,14,25,0,40,0,0,3,0,0,10,30,530,33,8.7,52219589.6953125,36337.8607213522
505,340010117022,67,25,42,20,4,0,1,0,0,14,10,0,1,0,0,12,12,1013,4,2.5,38054489.5585938,28585.8524130941
506,340010118023,56,24,32,5,14,0,3,2,0,21,0,0,3,0,0,17,4,1170,24,2.1,22664485.4804688,24745.7926519836
507,340010123022,28,13,15,5,8,0,0,0,0,9,0,0,4,0,0,6,3,476,4,2.8,4501393.62109375,9046.3618498883
508,340010118032,42,11,31,9,2,0,0,0,0,11,0,0,0,0,0,5,6,811,11,1.4,2578804.609375,6646.54085357027
509,340010101052,125,45,80,11,0,0,13,20,1,35,0,0,10,0,0,5,30,963,476,9.2,3950295.64453125,15273.8002227749
510,340010114012,28,11,17,1,2,3,2,3,0,8,0,0,3,0,0,6,2,969,12,1.1,9497391.04296875,16561.6510068694
511,340010115003,33,19,14,1,4,2,4,8,0,16,0,0,3,0,0,7,9,717,1,2.7,14067371.09375,21297.8451421251
512,340010025001,371,174,197,24,6,7,18,113,6,111,1,0,43,18,0,18,94,1238,46,14.6,945018.51953125,4996.24589603644
513,340010101012,403,291,112,6,0,1,55,213,16,259,0,0,32,0,0,33,226,602,200,72.4,1402218.234375,5279.54693690007
514,340010101013,305,148,157,3,1,0,53,77,14,69,4,0,64,11,0,16,57,988,503,30.5,737716.9296875,4003.00799585346
515,340010101021,211,128,83,3,1,5,30,84,5,106,0,0,10,10,0,18,88,727,350,34,1754455.1796875,8745.00379983821
516,340010101042,223,95,128,11,0,0,19,64,1,38,4,0,43,10,0,11,31,1119,494,15.2,1132950.17578125,4976.58188268836
517,340010105052,28,10,18,8,2,0,0,0,0,10,0,0,0,0,0,5,5,950,189,1.3,13504903.5585938,16298.1637475945
518,340010105061,48,10,38,7,2,0,1,0,0,9,0,0,1,0,0,5,4,741,1,1.4,7165681.01953125,11506.3209762452
519,340010101041,64,17,47,3,0,0,4,10,0,11,0,0,4,2,0,1,10,932,586,4.9,1377172.53515625,6094.17992654409
520,340010101051,207,75,132,12,1,0,19,43,0,50,5,0,14,6,0,9,46,1238,378,8.7,1446390.22265625,10358.9914155389
521,340010104033,60,11,49,3,5,0,3,0,0,10,0,0,1,0,0,7,3,914,3,1.2,3810739.578125,14620.4755875538
522,340010117012,72,27,45,17,5,0,4,1,0,20,5,0,2,0,0,13,12,1115,5,2.4,8836566.671875,12244.7273387369
523,340010117011,89,25,64,17,4,0,3,1,0,14,8,0,3,0,0,13,9,1267,6,2,6669819.97265625,12995.6571514351
524,340010114041,29,16,13,4,2,1,6,2,1,14,0,0,2,0,0,6,8,508,13,3.2,13869104.0273438,22105.6209584405
525,340010012002,335,209,126,9,2,2,71,123,2,138,0,0,67,4,0,34,104,514,6,41.1,1063081.77734375,5898.42967476266
526,340010013001,259,200,59,4,5,37,30,119,5,136,0,0,64,0,0,30,106,291,7,70.4,583972.33203125,4385.36231935061
527,340010013002,477,299,178,16,2,4,104,163,10,139,0,0,114,45,0,30,109,616,21,50.3,21646166.3515625,79830.9283090152
528,340010105014,73,30,43,3,0,0,11,12,4,18,0,0,12,0,0,7,11,1238,48,2.5,102142124.273438,130833.275293715
529,340010105012,20,14,6,1,0,2,6,4,1,13,0,0,1,0,0,5,8,406,7,3.5,25041688.5703125,22611.2115607401
530,340010117021,38,21,17,14,3,0,3,1,0,21,0,0,0,0,0,12,9,296,1,7.1,14092506.2421875,18303.6314039416
531,340010118021,51,15,36,8,6,0,1,0,0,13,2,0,0,0,0,8,7,1225,14,1.2,12911895.5234375,15878.2500130436
532,340010118022,108,32,76,10,21,0,0,1,0,29,0,0,3,0,0,19,10,2474,32,1.3,21135181.984375,20884.5055704244
533,340010118051,23,10,13,2,0,0,2,6,0,4,4,0,2,0,0,7,1,606,2,1.7,45345673.5351563,26124.2885649356
534,340010014002,439,334,105,7,3,30,64,218,12,169,0,0,155,10,0,45,124,497,29,71.4,436122.2734375,5462.66728041134
535,340010014001,194,49,145,22,1,0,18,7,1,0,0,0,9,40,0,0,0,406,1,12.1,2476876.8984375,8062.04251664703
536,340010114032,39,18,21,9,8,1,0,0,0,15,0,0,3,0,0,9,6,310,0,5.8,6700221.2890625,15256.9628011707
537,340010114042,66,21,45,9,10,0,1,1,0,18,2,0,1,0,0,13,7,2133,24,1,14247395.6328125,17112.2103987661
538,340297250021,82,10,72,10,0,0,0,0,0,10,0,0,0,0,0,2,8,745,4,1.3,1962709.05859375,9345.39483610978
539,340297250023,69,10,59,7,2,0,0,1,0,10,0,0,0,0,0,4,6,648,5,1.6,1188495.625,6744.70105089216
540,340297250022,79,11,68,7,4,0,0,0,0,11,0,0,0,0,0,6,5,571,1,1.9,997870.609375,7312.83374799229
541,340297251001,45,20,25,4,3,2,4,6,1,15,0,0,4,0,0,5,10,508,18,4.1,1211641.23828125,5307.39729908072
542,340297233004,50,13,37,4,1,0,4,4,0,13,0,0,0,0,0,8,5,726,11,1.8,3570015.76171875,9275.21743179902
543,340297260001,104,47,57,6,2,6,16,16,1,32,3,0,6,6,0,10,25,831,97,6.4,2762082.890625,8786.89598187253
544,340297270022,840,319,521,3,0,0,24,192,100,196,6,0,93,24,0,72,130,1074,800,100,1178355.64453125,4422.93814967859
545,340297270012,611,300,311,0,0,3,71,222,4,254,0,0,45,0,0,71,183,875,500,80,1419117.5234375,5413.44660206999
546,340297224014,721,568,153,4,0,7,107,440,10,426,0,0,60,82,0,120,306,893,193,81.1,1561055.875,6794.17445925297
547,340297226001,50,16,34,3,0,0,7,6,0,15,0,0,1,0,0,7,8,440,7,3.7,7861850.5078125,20318.6538639427
548,340297321011,308,217,91,8,1,0,68,137,3,204,0,0,13,0,0,43,161,1120,131,21.9,11248115.6835938,21148.7136526558
549,340297311031,95,11,84,6,4,0,0,1,0,10,0,0,1,0,0,4,6,899,3,1.2,14113653.2734375,17488.9786731561
550,340297361011,52,22,30,1,1,0,3,16,1,19,0,0,3,0,0,3,16,1147,62,2,15467489.9101563,24958.5653816705
551,340297233003,202,146,56,4,1,2,42,94,3,127,0,0,18,1,0,37,90,410,18,37.2,1447851.3828125,10015.9410972473
552,340297236001,133,78,55,5,2,1,15,49,6,68,0,0,6,4,0,19,49,513,36,16.4,2308904.90234375,11531.3528878657
553,340297235001,412,262,150,5,2,10,76,152,17,213,1,0,48,0,0,65,149,916,158,34.6,1941718.56640625,9280.0238060508
554,340297235002,174,123,51,2,2,4,30,75,10,92,0,0,31,0,0,29,63,467,94,33,890856.03125,5980.21351336583
555,340297321042,141,102,39,12,0,2,22,64,2,91,0,0,11,0,0,11,80,820,73,13.7,3105957.1640625,8583.97928876209
556,340297224022,209,154,55,1,1,4,39,104,5,150,0,0,4,0,0,38,112,550,59,31.4,1964914.05078125,6048.49844330403
557,340297224011,386,321,65,9,4,23,70,207,8,149,0,0,25,147,0,52,97,426,31,81.3,1669607.0625,9076.25423225959
558,340297142004,144,79,65,3,9,4,24,36,3,67,0,0,12,0,0,30,37,627,29,13.2,3862027.9140625,13471.330726654
559,340297224012,140,66,74,10,2,4,17,32,1,60,0,0,6,0,0,27,33,478,2,13.9,1603058.53125,6850.54480188878
560,340297224013,83,21,62,8,1,0,1,11,0,20,0,0,1,0,0,6,14,463,2,4.6,1152428.04296875,5447.74548826054
561,340297142002,442,291,151,0,2,0,55,213,21,232,0,0,58,0,0,77,155,549,130,69.5,1113008.52734375,6747.07419439483
562,340297142003,150,14,136,2,1,0,5,6,0,4,0,0,10,0,0,3,1,652,11,2.2,1267520.48828125,7685.688184187
563,340297234002,967,690,277,5,1,8,147,502,27,546,0,1,137,6,0,112,435,1096,270,83.5,2383177.12890625,10895.1732794087
564,340297220021,56,12,44,12,0,0,0,0,0,12,0,0,0,0,0,3,9,1130,9,1.1,8745676.15234375,17489.5949234503
565,340297351034,221,133,88,6,0,0,33,83,11,109,1,0,21,2,0,22,88,810,227,22.8,24040693.8632813,38443.6673305813
566,340297143002,378,299,79,2,0,1,74,207,15,267,0,1,30,0,0,53,215,431,101,90.6,2440911.61328125,10723.5999990569
567,340297227023,42,11,31,7,2,0,2,0,0,11,0,0,0,0,0,6,5,523,3,2.1,1797542.43359375,6278.24054294838
568,340297226003,368,279,89,3,0,0,58,204,14,249,0,0,30,0,0,63,186,437,129,90.6,945538.82421875,8838.10503387224
569,340297280005,823,454,369,7,0,17,79,330,21,115,23,0,200,115,0,47,91,938,392,83.2,769998.3984375,4755.08370047182
570,340057028052,65,12,53,10,0,1,1,0,0,11,0,0,1,0,0,6,5,627,0,1.9,1225568.13671875,4750.87691284843
571,340057022102,61,11,50,8,2,0,0,1,0,9,0,0,2,0,0,2,7,1021,1,1.1,4023537.203125,11431.7299278461
572,340057028021,52,11,41,10,0,0,1,0,0,10,0,0,1,0,0,5,5,768,0,1.4,1657418.15625,5499.99006821965
573,340297201011,66,19,47,18,0,0,1,0,0,8,10,0,1,0,0,3,15,1351,14,1.4,103928056.667969,52081.5627452073
574,340297330003,205,117,88,15,0,0,39,60,3,96,0,0,21,0,0,21,75,1155,208,12.4,5904387.5,10752.8038812211
575,340057047002,90,66,24,5,11,19,12,17,2,55,0,2,9,0,0,29,28,871,28,7.8,788554426.886719,133253.041797174
576,340297381001,155,30,125,3,1,0,10,15,1,29,0,0,1,0,0,3,26,964,814,20,3707105.45703125,16412.0532748562
577,340297270021,1249,501,748,10,1,1,62,362,65,364,12,0,106,19,0,116,260,1584,1108,100,1643991.890625,15504.029894833
578,340297390005,156,65,91,3,1,0,20,40,1,46,0,0,18,0,0,6,40,646,420,28.8,686062.9453125,7701.25478892712
579,340297232003,68,18,50,10,8,0,0,0,0,17,0,0,1,0,0,7,10,675,2,2.7,2158331.53125,7079.80176936419
580,340297360021,170,108,62,6,4,1,6,37,54,90,0,0,16,2,0,30,60,760,94,16.2,72449468.8125,50322.7523754224
581,340297381006,64,19,45,2,0,1,0,16,0,18,0,0,1,0,0,1,17,299,258,46.3,767682.8046875,6468.56676755053
582,340297381004,201,66,135,4,0,0,23,38,1,57,0,0,8,0,1,7,50,780,607,38.2,1903892.1953125,10901.9470392888
583,340297320026,37,12,25,6,4,0,1,1,0,12,0,0,0,0,0,8,4,509,12,2.4,1815810.796875,6106.32399847377
584,340297321041,326,197,129,9,1,3,52,125,7,161,0,0,36,0,0,35,126,942,288,30.1,2792470.90234375,8101.30487411295
585,340297351032,827,436,391,0,0,0,63,350,23,379,0,0,57,0,0,74,305,1091,632,95,2012009.20703125,5918.71124509369
586,340297370002,169,128,41,7,4,8,25,79,5,60,47,0,13,8,0,75,32,757,28,17.6,9576156.515625,16011.9423784145
587,340297370001,70,38,32,5,2,7,2,16,6,26,0,0,12,0,0,15,11,495,10,7.8,4707565.09765625,14459.7917030412
588,340297361053,746,473,273,4,1,4,69,356,39,406,0,0,67,0,0,84,322,975,358,76.7,9561877.48046875,26724.0560197019
589,340297230002,80,10,70,8,1,0,1,0,0,10,0,0,0,0,0,3,7,516,1,1.9,12126641.5625,16406.2812983662
590,340297232001,55,10,45,5,2,0,3,0,0,7,0,0,3,0,0,4,3,495,4,2,1429113.4921875,5201.91132540489
591,340297234001,493,384,109,10,19,8,84,246,17,343,0,0,39,0,0,101,242,782,194,65.3,1754855.140625,6288.29463519588
592,340297321014,192,152,40,3,0,1,49,97,2,130,0,0,22,0,0,27,103,422,53,41.2,1433456.54296875,8827.18324247155
593,340297321031,48,26,22,0,1,1,13,10,1,24,0,0,2,0,0,10,14,402,25,6.9,9097241.609375,14969.8276065144
594,340297232002,65,12,53,7,4,0,1,0,0,12,0,0,0,0,0,8,4,927,3,1.3,5195187.546875,11101.6463616083
595,340297321032,329,259,70,5,0,1,95,154,4,241,0,0,18,0,0,62,179,951,237,36.3,2568876.5859375,8931.72733141609
596,340297321043,86,48,38,6,1,0,16,23,2,40,0,0,8,0,0,8,32,440,36,11.9,5527892.55859375,12812.7596063571
597,340297280002,452,220,232,12,6,5,37,142,18,140,1,0,58,21,0,39,102,795,464,66.5,1091433.59765625,4725.07796857753
598,340297280001,444,156,288,19,0,0,62,73,2,126,2,1,27,0,0,41,88,1410,1103,50.8,1281376.37890625,5600.32673906419
599,340297280003,565,220,345,33,5,7,34,128,13,149,2,0,54,15,0,38,113,1162,698,47.4,1529529.93359375,9464.37094990474
600,340297310021,237,124,113,14,7,15,29,56,3,108,0,0,16,0,0,43,65,945,19,13.4,10227422.578125,15132.887173825
601,340297390002,438,191,247,0,0,1,48,126,16,136,1,0,48,6,0,26,111,735,454,68,1130327.28125,7395.49310014886
602,340297311021,103,12,91,12,0,0,0,0,0,10,0,0,2,0,0,5,5,840,8,1.4,5495297.8984375,12059.2140862489
603,340297142001,372,301,71,6,2,2,97,180,14,267,0,0,34,0,0,115,152,506,77,70.2,1185961.45703125,5399.12295026329
604,340297143001,791,602,189,4,0,0,187,392,19,532,0,0,69,0,0,149,383,951,226,83,2107541.453125,8743.4516990557
605,340297310011,385,270,115,13,4,1,55,185,12,243,0,0,27,0,0,50,193,941,189,35.9,9721906.96484375,25213.1523336615
606,340297310012,309,220,89,9,10,0,72,126,3,216,0,0,4,0,0,185,31,924,161,28.8,3205023.71484375,7475.10243844429
607,340297330002,140,99,41,5,2,2,28,60,2,80,3,0,16,0,0,16,67,498,67,23,1883563.90625,6497.05242304077
608,340297361054,884,555,329,3,0,0,35,483,34,408,0,0,146,0,0,87,321,999,413,94.7,1852257.36328125,6387.14943870489
609,340297138002,162,85,77,6,6,14,13,41,5,74,0,0,10,0,0,30,44,658,99,15.2,1308137.84375,8602.35226754064
610,340297141002,313,225,88,11,14,4,79,113,4,210,0,0,15,0,0,157,53,841,36,28,2444946.1875,10757.5931440283
611,340297361023,87,53,34,5,0,0,17,28,3,43,0,0,10,0,0,12,31,612,19,8.9,7653932.76171875,14122.8582598427
612,340297330001,297,164,133,12,1,0,63,83,5,133,0,0,31,0,0,40,93,1211,188,16,5719854.1953125,10782.6778360007
613,340297340021,219,122,97,11,1,0,66,43,1,110,1,0,7,4,0,31,80,1221,284,13,8845663.1875,12938.8058602742
614,340297381002,92,40,52,0,1,0,12,24,3,34,2,0,4,0,0,2,34,226,171,72.7,433297.11328125,4219.64863156104
615,340057028011,64,10,54,10,0,0,0,0,0,10,0,0,0,0,0,2,8,746,4,1.3,2291754.40625,7800.27341816895
616,340057028082,53,11,42,10,0,0,0,1,0,7,0,0,4,0,0,2,5,688,1,1.6,1539680.67578125,6501.30622478557
617,340297380012,1168,390,778,10,1,10,50,271,48,307,7,0,72,4,0,42,272,2461,1750,54.9,3140875.25390625,14013.6431945973
618,340297381003,63,11,52,3,0,0,3,5,0,10,0,0,1,0,0,0,10,715,518,5.6,2685617.62890625,9453.60193442903
619,340297381007,182,76,106,1,2,1,26,45,1,72,0,0,4,0,0,12,60,942,661,27,3269185.5390625,21359.3271823486
620,340297390004,333,150,183,2,1,0,36,109,2,127,0,0,23,0,0,20,107,969,619,42.9,1143381.00390625,5639.38727776647
621,340297390003,269,69,200,3,1,2,26,36,1,54,0,0,13,1,1,5,49,1649,1096,12.5,2343699.546875,12544.592639988
622,340297290001,503,326,177,5,7,29,96,180,9,226,0,2,98,0,0,87,141,778,250,61.7,1119673.8359375,7162.63046108917
623,340297290002,178,106,72,8,8,6,29,53,2,72,0,1,32,0,1,37,36,424,51,28.4,897929.25390625,6037.12175230933
624,340297300001,19,11,8,2,1,2,3,3,0,10,0,0,1,0,0,9,1,559,46,2.1,1446888.3046875,6215.84541934744
625,340297380021,523,245,278,4,1,8,58,159,15,167,5,1,68,3,0,24,149,1182,807,65.3,1821623.67578125,11203.823653089
626,340297380023,366,126,240,2,4,15,27,74,4,85,2,0,33,6,0,18,69,1036,744,43.2,1405883.328125,5765.5734347087
627,340297380024,198,79,119,1,1,5,14,55,3,70,0,0,9,0,0,10,60,449,324,63.2,623819.87890625,4541.14406516129
628,340297380022,380,94,286,1,2,1,20,58,12,77,1,0,16,0,0,16,62,1147,963,51.1,5610498.28515625,23589.1915758956
629,340057028081,31,11,20,8,0,0,3,0,0,8,0,0,3,0,0,3,5,466,0,2.4,1022721.1015625,5008.50853580822
630,340297380011,869,299,570,13,4,10,45,200,27,230,7,1,56,5,0,40,198,2088,1546,55.2,2689216.6328125,10386.6507270347
631,340297280006,995,429,566,11,7,26,82,267,36,54,22,0,228,125,0,32,44,1196,497,61.4,938050.703125,4000.92910686501
632,340297361013,125,83,42,11,0,0,28,42,2,67,0,0,16,0,0,25,42,840,12,10,1696972.4140625,5616.85641193993
633,340297361051,585,374,211,0,1,2,60,305,6,292,0,0,81,0,0,58,234,755,330,88,1376767.546875,5622.01105297788
634,340297361052,431,262,169,2,0,2,37,213,8,203,0,0,56,0,0,41,162,543,254,90.7,1150163.59765625,7650.49750608463
635,340297380013,656,234,422,3,5,7,56,152,11,202,0,0,28,3,0,27,175,1665,1226,53.3,2139326.046875,9211.40574731198
636,340297236002,105,57,48,5,1,7,10,33,1,48,0,0,9,0,0,16,32,590,44,10.4,1229703.8671875,6918.63188730833
637,340297224021,551,456,95,11,0,1,110,315,19,392,0,0,64,0,0,68,324,614,112,90.8,1475415.2890625,5750.64137251515
638,340297351031,611,285,326,1,0,0,62,213,9,237,0,0,48,0,0,59,178,896,546,81.4,1572271.1484375,7683.4025944398
639,340297351033,849,451,398,2,0,1,113,291,44,392,0,0,59,0,0,61,331,1196,757,100,1827697.16796875,8297.19862778144
640,340297351035,595,342,253,1,0,0,36,289,16,290,0,0,51,0,0,75,215,790,434,96.1,1291101.6015625,5767.27854786431
641,340297351041,127,74,53,4,0,1,7,49,13,58,0,1,12,3,0,11,48,683,91,12.5,58396559.046875,82036.4245001239
642,340297280004,579,236,343,8,3,6,67,147,5,130,7,0,80,19,0,54,83,845,519,72.4,1132297.55078125,9576.58205551529
643,340297280007,831,366,465,16,1,13,89,239,8,70,16,0,193,87,0,34,52,869,264,60.5,611009.43359375,3767.16635937931
644,340297142005,92,48,44,1,0,1,18,28,0,46,0,0,2,0,0,21,25,576,16,8.6,3107634.66796875,15082.5039172325
645,340297143003,122,81,41,8,1,1,23,46,2,76,0,0,5,0,0,16,60,376,21,22.8,3282637.5,10928.1681752868
646,340297310022,581,402,179,1,0,1,83,296,21,337,0,0,64,0,0,92,245,810,251,71.9,3922198.0859375,32713.7711792233
647,340297138001,393,256,137,14,5,10,76,145,6,217,0,0,39,0,0,91,126,925,82,30.4,10525153.921875,25721.7227954226
648,340297224023,533,433,100,3,1,5,97,289,38,376,0,0,57,0,0,68,308,740,92,66.8,1461053.328125,12593.1398380085
649,340297311023,74,14,60,12,2,0,0,0,0,14,0,0,0,0,0,6,8,851,7,1.7,7302318.26953125,14694.1244549017
650,340297360012,47,26,21,5,1,2,3,15,0,24,0,0,2,0,0,16,8,436,21,6.3,10341089.21875,21480.613392779
651,340297311012,44,18,26,1,2,0,4,11,0,16,0,0,2,0,0,11,5,322,1,5.6,924111.421875,4374.54127699267
652,340297240003,73,18,55,6,0,5,3,3,1,8,0,0,9,1,0,4,4,238,1,7.6,1597422.421875,6529.92091314408
653,340297390001,424,198,226,1,1,5,34,146,11,157,1,0,39,1,0,19,139,633,379,78,981771.97265625,8086.16406462165
654,340297370003,476,252,224,3,0,3,42,125,79,210,0,0,41,0,0,57,153,650,344,82.4,1615910.25,7749.62408964561
655,340297311011,173,83,90,10,6,3,21,39,4,75,0,1,6,0,0,21,55,908,37,9.5,4596860.4296875,23042.6446577696
656,340297361021,273,198,75,4,2,1,39,140,12,177,0,0,21,0,0,44,133,739,92,30.6,3434027.078125,8273.14324899497
657,340190101001,36,10,26,8,2,0,0,0,0,10,0,0,0,0,0,2,8,654,12,1.6,34510236.4296875,28887.8011411341
658,340270461053,101,13,88,12,1,0,0,0,0,13,0,0,0,0,0,5,8,587,11,2.3,1826011.20703125,8327.21600391906
659,340270461031,55,15,40,12,3,0,0,0,0,8,0,0,0,7,0,5,3,944,1,1.6,3528532.62109375,8692.72217246355
660,340270447021,45,10,35,7,1,0,2,0,0,9,0,0,1,0,0,3,6,872,34,1.2,7111674.40625,20162.220764757
661,340270447013,68,12,56,12,0,0,0,0,0,11,0,0,1,0,0,1,10,882,132,1.6,8790693.20703125,14136.6999671716
662,340270459021,68,10,58,8,2,0,0,0,0,10,0,0,0,0,0,2,8,1140,27,0.9,68243236.5898438,38297.9436756935
663,340270459022,48,12,36,11,1,0,0,0,0,12,0,0,0,0,0,4,8,960,8,1.3,29114555.03125,31484.3480149653
664,340270447022,54,14,40,13,1,0,0,0,0,12,1,0,1,0,0,4,9,1480,97,1,57665528.2109375,56597.6141589078
665,340373749003,114,10,104,9,1,0,0,0,0,10,0,0,0,0,0,1,9,619,2,1.6,1165640.72265625,4780.21858115316
666,340373733001,83,15,68,13,2,0,0,0,0,14,0,0,1,0,0,1,13,1068,8,1.4,19233505.171875,21495.5783955784
667,340373747001,97,14,83,11,2,1,0,0,0,12,0,0,2,0,0,5,7,671,26,2.2,2623113.72265625,8710.37160411472
