OBJECTID,2010 Census Block Group ID,Registrants,Total Damaged (any type),Registrants w/o Inspection,Damaged w/o Flooding,Basement Flooded up to 2 Feet,Basement Flooded 2 Feet or More,First Floor Flooded up to 1 Foot,First Floor Flooded 1 to 4 Feet,Living Space Flooded 4 Feet or More,Damaged Owners Single Family,Damaged Owners Multifamily,Damaged Owners Missing Building Type,Damaged Single Family,Damaged Multifamily,Damaged Renters Missing Building Type,Uninsured Owners with Damage,Insured Owners with Damage,Total Housing Units,Seasonal Housing Units,Percent Non-Seasonal Damaged,Shape__Area,Shape__Length
145,340170108002,102,42,60,5,4,11,3,17,2,15,2,0,15,10,0,14,3,376,0,11.2,135139.2265625,1634.44486840759
146,340170109001,138,13,125,11,1,1,0,0,0,6,1,0,1,5,0,3,4,984,2,1.3,490894.6328125,3713.51243161239
147,340130197003,47,13,34,10,3,0,0,0,0,12,0,0,1,0,0,6,6,275,0,4.7,296195.375,2558.53326823238
148,340130197002,91,11,80,7,4,0,0,0,0,9,0,0,2,0,0,4,5,474,1,2.3,708540.625,3817.92775405083
149,340230028051,46,11,35,5,3,2,1,0,0,10,0,0,1,0,0,4,6,516,0,2.1,961606.3515625,4267.94090227771
150,340230029012,53,12,41,1,4,5,1,0,1,10,0,0,1,1,0,7,3,714,2,1.7,2041444.7109375,6288.16392058737
151,340230029011,154,124,30,4,24,71,7,10,8,116,0,0,8,0,0,43,73,542,1,22.9,1612248.78515625,6164.09987012927
152,340170116002,101,22,79,3,5,7,1,3,3,6,0,0,3,13,0,6,0,498,0,4.4,187154.04296875,1791.48224589539
153,340170116001,120,61,59,2,3,48,2,3,3,54,0,0,5,2,0,50,4,412,0,14.8,243745.4296875,2286.82880588539
154,340170049003,111,12,99,8,4,0,0,0,0,7,0,0,4,1,0,3,4,458,0,2.6,147131.26171875,1888.98772038389
155,340170048003,128,34,94,2,10,12,2,8,0,24,1,0,9,0,0,24,1,651,5,5.3,1104407.62109375,5207.95788706032
156,340170052001,312,27,285,16,8,1,0,1,1,15,0,0,8,4,0,7,8,1197,3,2.3,315711.81640625,2724.45924809802
157,340170053002,153,21,132,10,9,1,1,0,0,15,2,0,2,2,0,9,8,708,0,3,413251.6796875,2903.99080205931
158,340170053001,136,16,120,9,7,0,0,0,0,13,0,0,3,0,0,7,6,480,0,3.3,258339.8515625,2648.46676405683
159,340170054001,173,15,158,6,0,0,4,4,1,13,0,0,2,0,0,10,3,1398,11,1.1,1616775.15234375,8452.67182299214
