ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT\
6019,9,3,464101,9003464101,5122,1995,48605317,48554483,10129,4272,60598525,59460853,5285,2062,52821049,52770215,50.57,46.7,80.21,81.66,96.92,96.75,92.02,92.01\
6019,9,3,464102,9003464102,5007,2277,11993208,10906370,10129,4272,60598525,59460853,5007,2277,11993208,10906370,49.43,53.3,19.79,18.34,100,100,100,100\
6020,9,3,464101,9003464101,0,0,18987,18987,0,0,18987,18987,5285,2062,52821049,52770215,0,0,100,100,0,0,0.04,.04\
6021,9,5,293100,9005293100,314,158,14783766,14622779,314,158,14783766,14622779,1485,722,85269228,81666018,100,100,100,100,21.14,21.88,17.34,17.91\
6022,9,3,464101,9003464101,163,67,4196745,4196745,163,67,4196745,4196745,5285,2062,52821049,52770215,100,100,100,100,3.08,3.25,7.95,7.95\
6023,9,3,400100,9003400100,1130,448,1629691,1629691,1296,517,2379054,2373324,7195,3109,19903778,19515944,87.19,86.65,68.5,68.67,15.71,14.41,8.19,8.35\
6023,9,3,400200,9003400200,166,69,749363,743633,1296,517,2379054,2373324,5769,2186,33896761,32960769,12.81,13.35,31.5,31.33,2.88,3.16,2.21,2.26\
6024,9,5,260200,9005260200,647,305,20576056,20576056,647,305,20576056,20576056,3315,1587,50433417,50417654,100,100,100,100,19.52,19.22,40.8,40.81\
6026,9,3,470100,9003470100,5117,2138,43097758,42862266,5117,2138,43849519,43614027,5148,2152,43387117,43126727,100,100,98.29,98.28,99.4,99.35,99.33,99.39\
6026,9,3,980000,9003980000,0,0,751761,751761,5117,2138,43849519,43614027,0,0,6516814,6516814,0,0,1.71,1.72,0,0,11.54,11.54\
6027,9,3,330100,9003330100,1492,574,42537785,40819647,1492,574,42537785,40819647,2114,856,89607083,85675124,100,100,100,100,70.58,67.06,47.47,47.64\
6029,9,13,535100,9013535100,9154,4129,45018244,44992617,15547,6644,88937643,87556774,9161,4132,45029835,45004208,58.88,62.15,50.62,51.39,99.92,99.93,99.97,99.97\
6029,9,13,535200,9013535200,6393,2515,43919399,42564157,15547,6644,88937643,87556774,6441,2533,44566270,43211028,41.12,37.85,49.38,48.61,99.25,99.29,98.55,98.5\
6031,9,5,261100,9005261100,189,136,13139733,13083139,1287,790,100441245,99548245,3741,2593,155595942,148255546,14.69,17.22,13.08,13.14,5.05,5.24,8.44,8.82\
6031,9,5,263200,9005263200,64,28,2469872,2469872,1287,790,100441245,99548245,1420,1007,119954215,119297432,4.97,3.54,2.46,2.48,4.51,2.78,2.06,2.07\
6031,9,5,296100,9005296100,7,4,66033,66033,1287,790,100441245,99548245,2976,1664,117033522,113004844,0.54,0.51,0.07,0.07,0.24,0.24,0.06,.06\
6031,9,5,425600,9005425600,1027,622,84765607,83929201,1287,790,100441245,99548245,2943,1746,206327736,202625921,79.8,78.73,84.39,84.31,34.9,35.62,41.08,41.42\
6032,9,3,460100,9003460100,3237,1428,10265727,9694578,17675,7867,60525791,58984447,3325,1467,10512485,9842900,18.31,18.15,16.96,16.44,97.35,97.34,97.65,98.49\
6032,9,3,460202,9003460202,4095,1779,19052731,18906442,17675,7867,60525791,58984447,4119,1788,19844699,19698410,23.17,22.61,31.48,32.05,99.42,99.5,96.01,95.98\
6032,9,3,460203,9003460203,3018,1528,12949240,12261543,17675,7867,60525791,58984447,3018,1528,12949240,12261543,17.07,19.42,21.39,20.79,100,100,100,100\
6032,9,3,460204,9003460204,5152,2323,14998210,14862001,17675,7867,60525791,58984447,5941,2644,17739182,17592337,29.15,29.53,24.78,25.2,86.72,87.86,84.55,84.48\
6032,9,3,460301,9003460301,2173,809,3259883,3259883,17675,7867,60525791,58984447,4982,2010,7569203,7400316,12.29,10.28,5.39,5.53,43.62,40.25,43.07,44.05\
6033,9,3,520100,9003520100,5830,2164,14592486,14530955,28762,11529,90378443,88936382,5830,2164,14592486,14530955,20.27,18.77,16.15,16.34,100,100,100,100\
6033,9,3,520201,9003520201,3739,1249,30816379,30647252,28762,11529,90378443,88936382,3739,1249,30816379,30647252,13,10.83,34.1,34.46,100,100,100,100\
6033,9,3,520202,9003520202,2074,767,9369519,9235029,28762,11529,90378443,88936382,4280,1537,35436897,35227264,7.21,6.65,10.37,10.38,48.46,49.9,26.44,26.22\
6033,9,3,520301,9003520301,4578,1902,7431284,7431284,28762,11529,90378443,88936382,4578,1902,7431284,7431284,15.92,16.5,8.22,8.36,100,100,100,100\
6033,9,3,520302,9003520302,3863,2086,8795120,8093585,28762,11529,90378443,88936382,3877,2091,8856009,8154474,13.43,18.09,9.73,9.1,99.64,99.76,99.31,99.25\
6033,9,3,520400,9003520400,7387,2889,16899232,16523854,28762,11529,90378443,88936382,7718,3054,18766456,18082302,25.68,25.06,18.7,18.58,95.71,94.6,90.05,91.38\
6033,9,3,520501,9003520501,1291,472,2474423,2474423,28762,11529,90378443,88936382,4405,1659,19264774,18714736,4.49,4.09,2.74,2.78,29.31,28.45,12.84,13.22\
6035,9,3,468101,9003468101,3668,1376,25908916,25625798,7513,3018,40082531,39708852,7468,2732,91821908,91537265,48.82,45.59,64.64,64.53,49.12,50.37,28.22,27.99\
6035,9,3,468102,9003468102,3814,1628,13884256,13818593,7513,3018,40082531,39708852,3814,1628,13884256,13818593,50.77,53.94,34.64,34.8,100,100,100,100\
6035,9,3,470100,9003470100,31,14,289359,264461,7513,3018,40082531,39708852,5148,2152,43387117,43126727,0.41,0.46,0.72,0.67,0.6,0.65,0.67,.61\
6037,9,3,400100,9003400100,6065,2661,18274087,17886253,18565,7620,67474205,65768256,7195,3109,19903778,19515944,32.67,34.92,27.08,27.2,84.29,85.59,91.81,91.65\
6037,9,3,400200,9003400200,5603,2117,33147398,32217136,18565,7620,67474205,65768256,5769,2186,33896761,32960769,30.18,27.78,49.13,48.99,97.12,96.84,97.79,97.74\
6037,9,3,400300,9003400300,6897,2842,16052720,15664867,18565,7620,67474205,65768256,6902,2845,16090956,15703103,37.15,37.3,23.79,23.82,99.93,99.89,99.76,99.76\
6039,9,5,261100,9005261100,1942,1287,56792465,54333953,1942,1287,56792465,54333953,3741,2593,155595942,148255546,100,100,100,100,51.91,49.63,36.5,36.65\
6040,9,3,514102,9003514102,0,0,77954,77954,35306,15450,44343040,43949945,7398,3687,12409429,12371964,0,0,0.18,0.18,0,0,0.63,.63\
